fin_year,mnth,lgd_state_code,state_name,lgd_district_code,district_name,scheme_code,total_beneficiaries,total_sc,total_st,total_gen,total_obc,total_aadhar,total_mobileno,lastUpdated
2023-2024,02,1,"JAMMU AND KASHMIR",13,SRINAGAR,IGNWPS,546,0,1,544,1,403,127,2024-07-31
2023-2024,02,1,"JAMMU AND KASHMIR",14,UDHAMPUR,IGNWPS,353,85,17,238,13,250,121,2024-07-31
2023-2024,02,1,"JAMMU AND KASHMIR",2,BADGAM,IGNWPS,176,3,1,170,2,150,25,2024-07-31
2023-2024,02,1,"JAMMU AND KASHMIR",4,DODA,IGNWPS,246,9,18,219,0,237,33,2024-07-31
2023-2024,02,1,"JAMMU AND KASHMIR",622,KULGAM,IGNWPS,290,20,0,257,13,290,0,2024-07-31
2023-2024,02,1,"JAMMU AND KASHMIR",624,SAMBA,IGNWPS,117,14,4,98,1,83,2,2024-07-31
2023-2024,02,1,"JAMMU AND KASHMIR",625,SHOPIAN,IGNWPS,454,0,47,407,0,454,315,2024-07-31
2023-2024,02,10,BIHAR,196,GAYA,IGNWPS,15236,6590,87,7644,915,11236,11618,2024-07-31
2023-2024,02,10,BIHAR,202,KHAGARIA,IGNWPS,15163,1623,271,11498,1771,10253,12412,2024-07-31
2023-2024,02,10,BIHAR,204,LAKHISARAI,IGNWPS,4116,684,34,1588,1810,2883,3181,2024-07-31
2023-2024,02,10,BIHAR,207,MUNGER,IGNWPS,8394,1313,122,6277,682,5913,6581,2024-07-31
2023-2024,02,10,BIHAR,215,ROHTAS,IGNWPS,12709,1549,147,9748,1265,8417,9737,2024-07-31
2023-2024,02,10,BIHAR,216,SAHARSA,IGNWPS,12568,2088,66,7037,3377,8442,10197,2024-07-31
2023-2024,02,10,BIHAR,224,VAISHALI,IGNWPS,25170,6390,112,5108,13560,17553,21438,2024-07-31
2023-2024,02,10,BIHAR,611,ARWAL,IGNWPS,5131,392,4,4417,318,3016,3851,2024-07-31
2023-2024,02,11,SIKKIM,225,"EAST DISTRICT",IGNWPS,664,60,232,224,148,0,132,2024-07-31
2023-2024,02,11,SIKKIM,227,"SOUTH DISTRICT",IGNWPS,315,37,94,100,84,0,141,2024-07-31
2023-2024,02,12,"ARUNACHAL PRADESH",230,"UPPER DIBANG VALLEY",IGNWPS,78,0,78,0,0,51,0,2024-07-31
2023-2024,02,12,"ARUNACHAL PRADESH",233,"KURUNG KUMEY",IGNWPS,391,0,391,0,0,168,0,2024-07-31
2023-2024,02,12,"ARUNACHAL PRADESH",235,"LOWER DIBANG VALLEY",IGNWPS,200,0,144,55,1,145,30,2024-07-31
2023-2024,02,12,"ARUNACHAL PRADESH",238,TAWANG,IGNWPS,201,0,201,0,0,133,12,2024-07-31
2023-2024,02,12,"ARUNACHAL PRADESH",239,TIRAP,IGNWPS,277,0,277,0,0,157,0,2024-07-31
2023-2024,02,12,"ARUNACHAL PRADESH",677,"KRA DAADI",IGNWPS,143,0,143,0,0,81,0,2024-07-31
2023-2024,02,12,"ARUNACHAL PRADESH",678,NAMSAI,IGNWPS,142,0,142,0,0,71,0,2024-07-31
2023-2024,02,12,"ARUNACHAL PRADESH",723,"PAKKE KESSANG",IGNWPS,74,0,74,0,0,43,0,2024-07-31
2023-2024,02,13,NAGALAND,250,WOKHA,IGNWPS,407,0,407,0,0,0,0,2024-07-31
2023-2024,02,13,NAGALAND,614,KIPHIRE,IGNWPS,201,0,201,0,0,51,1,2024-07-31
2023-2024,02,14,MANIPUR,256,"IMPHAL WEST",IGNWPS,1799,58,37,915,789,1369,220,2024-07-31
2023-2024,02,15,MIZORAM,263,KOLASIB,IGNWPS,166,1,164,1,0,148,126,2024-07-31
2023-2024,02,15,MIZORAM,265,LUNGLEI,IGNWPS,365,0,349,16,0,225,103,2024-07-31
2023-2024,02,15,MIZORAM,267,SAIHA,IGNWPS,165,0,80,85,0,94,111,2024-07-31
2023-2024,02,16,TRIPURA,270,"NORTH TRIPURA",IGNWPS,1118,337,133,434,214,669,1,2024-07-31
2023-2024,02,16,TRIPURA,654,GOMATI,IGNWPS,1820,354,556,632,278,1128,28,2024-07-31
2023-2024,02,17,MEGHALAYA,279,"WEST KHASI HILLS",IGNWPS,878,1,869,7,1,648,284,2024-07-31
2023-2024,02,17,MEGHALAYA,656,"NORTH GARO HILLS",IGNWPS,236,0,232,4,0,138,15,2024-07-31
2023-2024,02,18,ASSAM,284,DHEMAJI,IGNWPS,2538,176,1062,378,922,2106,1952,2024-07-31
2023-2024,02,18,ASSAM,296,MORIGAON,IGNWPS,4234,345,488,3063,338,2397,1627,2024-07-31
2023-2024,02,18,ASSAM,299,"DIMA HASAO",IGNWPS,581,3,348,186,44,514,581,2024-07-31
2023-2024,02,18,ASSAM,301,SONITPUR,IGNWPS,3899,43,93,3569,194,2471,2426,2024-07-31
